Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","AL-AHAD COLLEGE OF EDUCATION, ANANTNAG (Id: C-45949)",Affiliated College,"Sarwat-abad (Krangsoo) K P Road Anantnag, Sarwat-abad (Krangsoo) K P Road Anantnag, Krangsoo  Kp Road  ",www.alahadcollege.com,Private Un-Aided,2006,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVERNMENT DEGREE COLLEGE MATTAN ANANTNAG (Id: C-63922),Affiliated College,"Mattan Bala, Opposite to International Ace School, Mattan",,State Government,2019,No,Rural,,2020,2020
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",Government Medical College Anantnag (Id: C-62973),Affiliated College,"Camp Office, MMABM Associated Hospital, GMC, Anantnag, Janglat Mandi, Anantnag, Anantnag",www.gmcanantnag.net,State Government,2018,No,Rural,,2020,2019
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Bijbehara, Kashmir (Id: C-21448)",Affiliated College,"Nilandrus , Pahalgam Road,, Bijbehara, Anantnag, Anantnag",www.gdcbijbehara.edu.in,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVT DEGREE COLLEGE CHATHI SINGHPORA (Id: C-63969),Affiliated College,,,,,,,,NO,2020
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Dooru, Kashmir (Id: C-21421)",Affiliated College,"Govt. Degree College Dooru (Shahabad)  Anantnag, Jammu & Kashmir Pin Code 192211, Dooru",www.gdcdooru.jk.gov.in,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College for Boys Anantnag, Kashmir (Id: C-21415)",Affiliated College,"Khanabal, Anantnag, Anantnag",www.gdcboysang.ac.in,State Government,1950,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College for Womens, Anantnag (Id: C-21454)",Affiliated College,"K.P ROAD ANANTNAG, K.P ROAD ANANTNAG, ANANTNAG",www.wca.edu.in,State Government,1979,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Kokernag, Kashmir (Id: C-21431)",Affiliated College,"Irkumu, Kokernag., Kokernag, Anantnag, Kashmir., Kokernag",www.gdckokernag.com,State Government,2008,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Uttersoo, Kashmir (Id: C-21427)",Affiliated College,"UTTERSOO, SHANGUS, ACHABAL, ANANTNAG",gdcuttersoo.ac.in,State Government,2008,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt Degree College, Vailoo, Larnoo (Id: C-57436)",Affiliated College,"LARNOO, LARNOO KOKERNAG, ANANTNAG",gdcvl.edu.in   ,State Government,2011,No,Rural,,2020,2016
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVT DEGREE COLLEGE VERINAG (Id: C-64679),Affiliated College,,,,,,,,NO,2020
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","JAMIA COLLEGE OF EDUCAITON, ANANTNAG (Id: C-45950)",Affiliated College,"Brakapora, Anantnag, Anantnag",,Private Aided,2007,No,Rural,,2020,2011
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","RAHMAT-E- AALAM COLLEGE OF EDUCATION, ANANTNAG (Id: C-45951)",Affiliated College,"Anchidora, Anantnag, Anantnag,  Jammu & Kashmir, Pin 192101, Anantnag",rehmatealameducation.org.in,Local Body,1995,No,Rural,,2020,2011
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","SHAH-I-HAMDAN COLLEGE OF EDUCATION, ANANTNAG (Id: C-46014)",Affiliated College,"SILIGAM, PHALAGAM., ANANTNAG., ANANTNAG.",www.shahihamadancollege.com,Private Un-Aided,2005,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",South Campus Anantnag (Id: C-21429),PG Center / Off-Campus Center,"High ground , Fategarh , Anantnag ",southcampus.uok.edu.in,State Government,2008,No,Rural,,2020,2010
Jammu and Kashmir,Anantnag,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","WEETA COLLEGE OF EDUCATION, ANANTNAG (Id: C-45952)",Affiliated College,"WEETA COLLEGE OF EDUCATION, SANGAM  BIJBEHARA ANANTNAG, ANANTNAG",,Private Un-Aided,2004,No,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"Islamic University of Science & Technology, Pulwama (Id: U-0194)","Alamdar Memorial College of Nursing and Medical Technology, Charar-i-Sharief, Budgam (Id: C-57819)",Constituent / University College,,,,,,,,NO,2016
Jammu and Kashmir,Badgam,Central University ,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)","MANUU Arts and Science College for Women,Srinagar (Id: C-55181)",Constituent / University College,"Uppar Humhama, Budgam Road, Srinagar, Landmark Near KSERT College, Srinagar",www.manuu.edu.in,University,2015,No,Urban,,2020,2015
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Babul Ilm, Mirgund BUDGAM (Id: C-46517)",Affiliated College,"Mirgund, Budgam, Budgam",anjumanesharieshian.com,Private Un-Aided,1949,none,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","CED COLLEGE OF EDUCATION, NARBAL (Id: C-45985)",Affiliated College,"NARABAL GULMARG ROAD KASHMIR, NARABAL GULMARG ROAD KASHMIR, NARABAL",cedcollege.in,Private Un-Aided,2002,No,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","CHINAB VALLEY COLLEGE OF EDUCATION, BUDGAM (Id: C-45975)",Affiliated College,"WAGAR SHAMAS ABAD, PARNEWA ROAD, WAGAR",www.chinabvalleycollege.com,Private Un-Aided,2006,No,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Beerwah, Kashmir (Id: C-21439)",Affiliated College,"Beerwah Budgam Kashmir, PIN 193411, Budgam",https://gdcbeerwah.edu.in/,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVT DEGREE COLLEGE CHADOORA (Id: C-64873),Affiliated College,"Chadoora, , Chadoora",,State Government,2019,No,Rural,,2020,2020
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Khansahib Budgam,Kmr. (Id: C-21447)",Affiliated College,"Khansahib, Budgam, Budgam",www.gdckhansahib.net,State Government,2008,No,Rural,,2020,2010
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVT DEGREE COLLEGE SOIBUGH (Id: C-64918),Affiliated College,"Govt. Degree College Soibugh, Soibugh, Soibugh",www.gdcsoibugh.ac.in,State Government,2019,No,Rural,,2020,2020
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",IBN SINA COLLEGE OF NURSING AND HEALTH SCIENCES (Id: C-64014),Affiliated College," Ompora Budgam, Near Railway station Ompora Budgam, Ompora Budgam",,Private Un-Aided,2020,Nursing,Rural,,2020,2020
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","KASHMIR VALLEY COLLEGE OF EDUCATION, BUDGAM (Id: C-45976)",Affiliated College,"POHROO CROSSING, NAWGAM BYE PASS, NH1A, P.O.NATIPORA NAWGAM, SRINAGAR",kashmirvalleycollege.com,Private Un-Aided,2001,Education/Teacher Education,Urban,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","KSERT COLLEGE OF EDUCATION, BUDGAM (Id: C-45977)",Affiliated College,"HUMHAMA BUDGAM, HUMHAMA-BUDGAM ROAD, HUMHAMA",www.ksert.ac.in,Private Un-Aided,2002,No,Urban,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","MODEL GOVERNMENT DEGREE COLLEGE, CHRARI SHARIEF,  (Id: C-47441)",Affiliated College,"Model Govt. Degree College Charar-i-Sharief, Zaloosa Charar-i-Sharief. budgam, Charar-i-Sharief, Zaloosa",www.mgdc-chararisharief.com,State Government,2011,No,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","SARFRAZ COLLEGE OF EDUCATION, BUDGAM (Id: C-45979)",Affiliated College,"19 ASRAR COLONY, NEAR BONE & JOINT HOSPITAL, , BARZULLA, SRINAGAR",www.sarafrazcollege.org,Private Un-Aided,1994,Education/Teacher Education,Urban,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","SEM COLLEGE OF EDUCATION, BUDGAM (Id: C-45980)",Affiliated College,"NEW AIRPORT (IG) ROAD, HUMHAMA",www.sem.org,Private Un-Aided,1999,No,Urban,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Shaikh-ul-Alam (RA)   Memorial Degree College Budgam,Kashmir (Id: C-21441)",Affiliated College,"Budgam, Kashmir., Pallar, Budgam",www.samdc.edu.in,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","SIR SYED MEMORIAL COLLEGE OF EDUCATION, BUDGAM (Id: C-45981)",Affiliated College,"PADSHAHI BAGH, SOIETENG, SRINAGAR",www.ssminstitute.com,Private Un-Aided,1993,Education/Teacher Education,Urban,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","SOUTH KASHMIR TEACHERS TRAINING COLLEGE OF EDUCATION, BUDGAM (Id: C-45982)",Affiliated College,"BAGATH, KANIPORA, NOWGAM, NOWGAM, BUDGAM, PIN: 190015, NEAR CUK NOWGAM CAMPUS, NOWGAM, SRINAGAR",sktccollegeedu.net.in,Private Un-Aided,1996,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","SYED ALI MEMORIAL EDUCATIONAL TRUST, BUDGAM (Id: C-45983)",Affiliated College,"SIR SYED COLONY BEERWAH, SIR SYED COLONY BEERWAH, BEERWAH BUDGAM",www.samcollege.net,Private Un-Aided,2006,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Badgam,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",VITASTA SCHOOL OF LAW (Id: C-46538),Affiliated College,"POHROO CROSSING, NAWGAM BYE PASS, NH1A, P.O.NATIPORA NAWGAM, SRINAGAR",www.vitasta.in,Private Un-Aided,2009,Law,Urban,,2020,2011
Jammu and Kashmir,Bandipora,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","AL-NOOR COLLEGE OF EDUCATION, BANDIPORE (Id: C-45953)",Affiliated College,"Madar BANDIPORA, District Bandipora, BANDIPORA",www.ancebpr.com,Local Body,2004,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Bandipora,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVERNMENT DEGREE COLLEGE HAJIN (Id: C-64539),Affiliated College,"HAJIN TOWN, NEAR ARMY GOODWILL SCHOOL, ",,State Government,2019,No,Rural,,2020,2020
Jammu and Kashmir,Bandipora,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Government Degree College, Sumbal, Sonawari,  (Id: C-50912)",Affiliated College,"Sumbal, , Sonawari",http://gdcsumbal.edu.in,State Government,2010,No,Rural,,2020,2013
Jammu and Kashmir,Bandipora,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVERNMENT DEGREE COLLEGE TULAIL (Id: C-65616),Affiliated College,"SHEIKHPORA, TULAIL, GUREZ",,State Government,2019,No,Rural,,2020,2020
Jammu and Kashmir,Bandipora,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVT DEGREE COLLEGE AJAS (Id: C-64536),Affiliated College,"AJAS , BANDIPORA, AJAS",,State Government,2019,No,Rural,,2020,2020
Jammu and Kashmir,Bandipora,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Gurez, Kashmir (Id: C-21437)",Affiliated College,"Wanpora, Gurez, Srinagar",www.gurezcollege.net,State Government,2008,No,Rural,,2020,2010
